Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Пелех,Маруся,Вікторівна,Жіноча,07.11.1940,Прокурор,село Хотин,"вулиця Професора Коровицького, буд. 80 кв. 67, Овруч, 58092",017 053-80-06,bohuslav01@example.org
Гузій,Ліза,Вікторівна,Жіноча,21.09.1970,Ді-джей,село Кривий Ріг,"набережна Авіаційна, буд. 36, Полтава, 91595",+380 (33) 825-49-70,zhavrylets@example.net
Єрьоменко,Любов,Володимирівна,Жіноча,26.04.1990,Акушер,місто Помічна,"провулок Вертелецького, буд. 3 кв. 620, Бахчисарай, 74526",077 368 30 75,myroslav38@example.com
Баран,Віра,Федорівна,Жіноча,28.09.1998,Фермер,село Львів,"парк Лодочний, буд. 190, Зимогір'я, 69948",+380 87 603 66 01,oshakhrai@example.org
Приходько,Володимира,Вікторівна,Жіноча,23.06.2002,Дерун,хутір Вугледар,"узвіз Різдвяна, буд. 5 кв. 58, Лебедин, 74747",834-97-11,iryna37@example.net
Короленко,Єва,Петрівна,Жіноча,17.02.1983,Лікар,селище Почаїв,"узвіз Амбулаторна, буд. 0 кв. 2, Бердичів, 50489",+380 31 730 50 87,herman50@example.org
Ґереґа,Марія,Петрівна,Жіноча,17.03.1960,Драматург,селище Кривий Ріг,"провулок Далекосхідна, буд. 42, Любомль, 31123",074 378-20-60,ovsiienkoadam@example.org
Андрійович,Марта,Олександрівна,Жіноча,25.03.1963,Менеджер,селище Кривий Ріг,"шосе Городня, буд. 963, Яворів, 75796",+380 84 928 91 73,ustym77@example.com
Ісаєвич,Михайлина,Андріївна,Жіноча,03.01.1980,Паблік рилейшнз,село Петрово-Красносілля,"площа Десятого квітня, буд. 9, Нова Каховка, 84630",099 791 05 44,upanchuk@example.com
Яценко,Дарина,Федорівна,Жіноча,19.11.1947,Прокурор,хутір Виноградів,"сквер Марії Демченко, буд. 897, Тисмениця, 98518",097 478-27-18,mykhailyna09@example.com
Влох,Сніжана,Володимирівна,Жіноча,31.07.1973,Машиніст,місто Довжанськ,"парк Дунайська, буд. 41, Каховка, 30823",940-79-18,orysiatalan@example.net
Рудик,Христина,Андріївна,Жіноча,08.08.1976,Євнух,місто Шпола,"узвіз Сосюри, буд. 368 кв. 427, Устилуг, 76361",967 17 54,zynoviipylypenko@example.com
Шутько,Галина,Вікторівна,Жіноча,12.12.1989,Швачка,місто Яворів,"сквер Толбухіна, буд. 7 кв. 275, Могилів-Подільський, 42583",+380 48 021-80-44,mtalan@example.org
Закусило,Юстина,Михайлівна,Жіноча,17.09.1938,Штукатур,хутір Немирів,"проспект Чорноморський 5-й, буд. 1 кв. 1, Чернігів, 34850",+380 (02) 743-51-43,gbabych@example.com
Гаврилів,Розалія,Вікторівна,Жіноча,14.01.1962,Громадський діяч,хутір Тернівка ,"провулок Василя Стуса, буд. 731, Жмеринка, 47653",628-55-84,fnikoliuk@example.net
Піддубний,Тетяна,Володимирівна,Жіноча,27.01.1947,Актор,селище Перечин,"набережна Лесі Українки, буд. 472 кв. 6, Заставна, 25179",+380 52 281-42-11,hbabiichuk@example.org
Атаманчук,Розалія,Дмитрівна,Жіноча,14.10.1973,Психолог,селище Бережани,"сквер Басейний 4-й, буд. 46, Брянка, 96876",301-54-81,oleksahupalo@example.org
Калениченко,Маруся,Дмитрівна,Жіноча,01.09.1975,Ді-джей,селище Кременець,"парк Небесної Сотні, буд. 16, Монастириська, 53520",056 251 87 84,zynoviiiaremenko@example.org
Полтавець,Єлисавета,Дмитрівна,Жіноча,15.08.2000,Модель,хутір Тетіїв,"площа Тупиковий, буд. 1 кв. 018, Коломия, 05589",086 077-54-61,sviatoslav47@example.org
Забіла,Лариса,Федорівна,Жіноча,01.05.1996,Агроном,хутір Хрестівка,"проспект Аеропортівський 2-й, буд. 10, Червоноград, 81922",045 513-53-56,opanas99@example.com
Бабариченко,Надія,Михайлівна,Жіноча,30.04.1970,Слідчий,село Горішні Плавні,"сквер Толбухіна, буд. 158 кв. 230, Тараща, 48284",+380 (32) 070-14-32,zhaivorontrokhym@example.com
Сич,Михайлина,Федорівна,Жіноча,19.03.1993,Кінорежисер,хутір Бершадь,"узвіз Улітіна, буд. 537 кв. 63, Збараж, 34200",026 810 01 32,fsheremet@example.net
Затовканюк,Ада,Сергіївна,Жіноча,21.02.1975,Доцент,село Хорол ,"сквер Проектна 2-га, буд. 41, Гайворон, 80187",+380 (17) 434-56-01,eadamenko@example.com
Балабан,Клавдія,Сергіївна,Жіноча,12.12.1995,Випробувач,село Здолбунів,"набережна Місячна, буд. 117, Перевальськ, 03950",+380 72 324-23-64,heorhiiasaula@example.com
Їжакевич,Розалія,Вікторівна,Жіноча,22.02.1989,Психолог,селище Городня,"набережна Наявний 2-й, буд. 580 кв. 4, Могилів-Подільський, 14262",+380 30 380-00-76,rozaliiaonishchuk@example.net
Яремчук,Еріка,Федорівна,Жіноча,23.08.1988,Модельєр,село Миргород,"площа Моторна, буд. 0 кв. 7, Берегове, 81398",097 363-82-67,mbaklan@example.com
Жарко,Світлана,Михайлівна,Жіноча,11.11.1974,Мікробіолог,хутір Петрово-Красносілля,"парк Куяльницький міст, буд. 82 кв. 99, Зіньків, 69664",+380 80 859-04-69,marusia33@example.com
Тягнибок,Марина,Вікторівна,Жіноча,26.08.1962,Підприємець,село Білопілля,"парк Проїзний 3-й, буд. 8, Камінь-Каширський, 56806",+380 53 581 78 99,xdemianchuk@example.com
Гайдабура,Василина,Федорівна,Жіноча,23.03.1940,Електромонтер,місто Ясинувата,"парк Балківська, буд. 738, Щолкіне, 80546",556-83-58,arkhymovychavrelii@example.com
Приходько,Любов,Олександрівна,Жіноча,03.10.1991,Астронавт,село Першотравенськ,"парк Товарний, буд. 42, Соснівка , 81298",+380 (20) 956-74-16,rostyslav92@example.org
Мазепа,Ада,Вікторівна,Жіноча,16.07.1954,Перекладач,село Вознесенівка,"шосе Круговий, буд. 64 кв. 32, Глиняни, 06416",240-93-63,filipenkoolha@example.org
Чарниш,Варвара,Михайлівна,Жіноча,15.01.1955,Штукатур,місто Коростень,"парк Хаджибейський 2-й, буд. 0, Гірське, 51271",+380 65 508-82-40,snizhanakashchenko@example.net
Хоменко,Емілія,Сергіївна,Жіноча,02.06.1959,Фізик,село Буринь,"сквер Тепла, буд. 09 кв. 68, Гребінка, 23747",+380 10 720 45 55,iaryna62@example.org
Ковпак,Володимира,Сергіївна,Жіноча,07.04.1971,Дизайнер,місто Новгород-Сіверський,"набережна 1-ша Лінія Марії Демченко, буд. 22 кв. 8, Заліщики, 81472",060 680 48 21,anitashcherban@example.net
Рябченко,Віра,Михайлівна,Жіноча,24.03.1978,Етнограф,село Сколе,"площа Палубна, буд. 771 кв. 577, Тальне, 21238",597-99-94,romanchukmaryna@example.com
Фурс,Аліна,Дмитрівна,Жіноча,11.10.2005,Стиліст,село Пологи ,"провулок Восьмого березня, буд. 630, Снятин, 10561",580 12 14,teodor55@example.com
Шухевич,Роксолана,Федорівна,Жіноча,12.04.1997,Програміст,селище Підгайці,"узвіз Юннатів 2-й, буд. 8, Новомосковськ, 64484",+380 64 478 38 16,ihnat60@example.com
Петлюра,Людмила,Сергіївна,Жіноча,21.11.1994,Електрик,місто Ірміно,"парк Остапа Вишні, буд. 10, Привілля, 05003",+380 93 907-53-82,petliuraolena@example.net
Гунько,Мілена,Володимирівна,Жіноча,05.10.1959,Психолог,хутір Бар,"проспект Майстерний, буд. 94, Вовчанськ, 73708",+380 76 832-05-68,qzinkevych@example.net
Гриценко,Златослава,Іванівна,Жіноча,03.10.1983,Літературознавець,селище Березань ,"проспект Смоленська, буд. 45 кв. 255, Тростянець, 27630",+380 (76) 785-32-64,borysonishchuk@example.org
Ємець,Альбіна,Сергіївна,Жіноча,23.02.1970,Головний меркшейдер,село Олевськ,"парк Лінія 50-та, буд. 61, Антрацит , 24043",246-25-35,smykhanna@example.net
Гуцуляк,Валентина,Федорівна,Жіноча,01.10.1964,Диригент,хутір Сіверськ,"шосе Липнева, буд. 8 кв. 5, Новоазовськ, 96343",783 09 25,rmakohon@example.net
Олійник,Марта,Сергіївна,Жіноча,15.05.1974,Адвокат,село Кіцмань,"парк Харківська, буд. 275 кв. 8, Березівка, 94285",267 38 57,biarosh@example.com
